"LOCATION","Pays","VARIABLE","Variable","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2000","2000","EUR","Euro","0","Unités","2014","2014",425410300000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2001","2001","EUR","Euro","0","Unités","2014","2014",427041800000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2002","2002","EUR","Euro","0","Unités","2014","2014",419975500000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2003","2003","EUR","Euro","0","Unités","2014","2014",421100500000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2004","2004","EUR","Euro","0","Unités","2014","2014",444601700000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2005","2005","EUR","Euro","0","Unités","2014","2014",458947400000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2006","2006","EUR","Euro","0","Unités","2014","2014",479234000000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2007","2007","EUR","Euro","0","Unités","2014","2014",507522800000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2008","2008","EUR","Euro","0","Unités","2014","2014",505880200000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2009","2009","EUR","Euro","0","Unités","2014","2014",437512700000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2010","2010","EUR","Euro","0","Unités","2014","2014",450453600000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2011","2011","EUR","Euro","0","Unités","2014","2014",483547300000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2012","2012","EUR","Euro","0","Unités","2014","2014",471798600000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2013","2013","EUR","Euro","0","Unités","2014","2014",474816100000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2014","2014","EUR","Euro","0","Unités","2014","2014",489811300000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2015","2015","EUR","Euro","0","Unités","2014","2014",499204200000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2016","2016","EUR","Euro","0","Unités","2014","2014",503190500000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2017","2017","EUR","Euro","0","Unités","2014","2014",531949500000,,
"FRA","France","ITISKV","Formation brute de capital, total, en volume","A","Annuelle","2018","2018","EUR","Euro","0","Unités","2014","2014",547475900000,,
